RunID,InstrumentID,RunDate,NumberOfCyclesR1,NumberofCyclesR2,FlowCellInDate?,PR2BottleInDate?,ReagentKitInDate?,%ReadsPassingFilter,%ReadsPassingFilterOutsideThreshold?,NumberofReadsPassingFilter,ReadCountWithinThreshold?,MeanClusterDensityPassingFilter,MeanClusterDensityWithinThreshold,COVClusterDensity,COVClusterDensityExceedsThreshold?,%MedianClusterDensityPassingFilter,GapBetweenClusterDensitiesPassingFilterAndNotExceedsThreshold?,ProportionOverQ30,IlluminaQ30Threshold,ProportionOverQ30ExceedsThreshold?,ProportionOverQ30Read1,ProportionOverQ30ExceedsThresholdRead1,ProportionOverQ30Read2,ProportionOverQ30ExceedsThresholdRead2,SlopeOfLineOfBestFitRead1,ThresholdSlopeR1,SlopeOfLineOfBestFitRead1ExceedsThreshold?,SlopeofLOBFR1_1,SlopeOfLOBFR1_2,R1_1overThresh?,R1_2overthresh,SlopeOfLineOfBestFitRead2,ThresholdSlopeR2,SlopeOfLineOfBestFitRead2ExceedsThreshold?,ProportionOfUndeterminedReads?,COVIndexes,COVIndexesExceedsThreshold?,OutlyingIndexes,OutlyingIndexes(Low),OutlyingIndexes(High),StateOfNTC
130902_M00766_0045_000000000-A5BVD,M00766,2013-09-02,156,151,in date,in date,in date,92.4438833571,no,17107054,low,889.9217566964285714285714286,low,0.02094274768540172710816028749,no,92.34666138962375068721402284,no,0.95011791998,0.75,no,0.967782281883,no,0.930939671154,no,-0.000289345970744,-0.00257763651291,no,-0.000125905907071,-0.000481237680711,no,no,-0.000723466727747,-0.00254254101512,no,OK,0.599365663704,yes,no outlying indexes, , ,No NTC on run
130909_M00766_0047_000000000-A5PEH,M00766,2013-09-09,151,151,in date,in date,in date,91.8202410859,no,17818894,low,943.0640379464285714285714286,OK,0.01353147199625185144267368374,no,91.90426429994812301926150896,no,0.916586191076,0.8,no,0.938439809827,no,0.893232452999,no,-0.000837273181681,-0.00244969399453,no,-0.000400171675304,-0.00135495716689,no,no,-0.000959478515347,-0.00254254101512,no,OK,0.36674052335,yes,['Control'],['Control'],[],No NTC on run
130913_M00766_0049_000000000-A5B0E,M00766,2013-09-13,251,251,in date,in date,in date,89.8636118858,no,17433281,low,913.7303214285714285714285714,OK,0.02469617138506423565088811656,no,89.17791675052764755062783784,no,0.833933127024,0.75,no,0.885727996228,no,0.776475013944,no,-0.00116563781857,-0.003193154317,no,-0.000358897541193,-0.00212699212185,no,no,-0.00197594173517,-0.00468449750007,no,High,0.0209577529749,no,no outlying indexes, , ,No NTC on run
130916_M00766_0050_000000000-A5M1U,M00766,2013-09-16,151,151,in date,in date,in date,86.0618336984,no,22033351,low,1185.417316964285714285714286,very high,0.02846792582778318441290831796,no,86.01222865501697840569732526,no,0.913800225087,0.8,no,0.934768783405,no,0.890557708155,no,-0.000702350328254,-0.00244969399453,no,-0.000277664764831,-0.00121662140928,no,no,-0.000904502114775,-0.00254254101512,no,OK,0.189935935537,yes,['12M04425'],['12M04425'],[],No NTC on run
130918_M00766_0051_000000000-A5BDM,M00766,2013-09-18,251,251,Run analysis for 130918_M00766_0051_000000000-A5BDM incomplete
130924_M00766_0052_000000000-A5BE6,M00766,2013-09-24,251,251,in date,in date,in date,67.1951635238,yes,14006895,low,805.1388035714285714285714286,high,0.09217592085197375745238834777,yes,66.84428290720099609081088547,yes,0.715170386004,0.75,yes,0.770689124565,no,0.663477723846,yes,-0.00197890558668,-0.003193154317,no,-0.000426344671051,-0.00368476451214,no,yes,-0.00218602589601,-0.00468449750007,no,High,0.491775303502,yes,no outlying indexes, , ,No NTC on run
131007_M00766_0055_000000000-A59JT,M00766,2013-10-07,251,251,in date,in date,in date,88.9869303186,no,7066429,low,464.0561361607142857142857143,very low,0.1139476126741443669017495743,yes,90.72661677746453887875333752,no,0.860051952942,0.75,no,0.866118468233,no,0.852465634407,no,-0.00140218418503,-0.003193154317,no,-0.000363167995491,-0.00264375762758,no,no,-0.00154463757122,-0.00468449750007,no,High,0.0210205550599,no,no outlying indexes, , ,No NTC on run
131025_M00766_0059_000000000-A5P9A,M00766,2013-10-25,151,151,in date,in date,in date,90.6340956362,no,17754371,low,930.3591004464285714285714286,OK,0.03083595660920810582875013841,no,91.40364164616080766452151169,no,0.922417574429,0.8,no,0.935490132214,no,0.905462811503,no,-0.000949722639056,-0.00244969399453,no,-0.000103200436919,-0.000989604121089,no,no,-0.00102739556612,-0.00254254101512,no,OK,0.514834692823,yes,no outlying indexes, , ,No NTC on run
131031_M00766_0061_000000000-A5M27,M00766,2013-10-31,151,151,Run analysis for 131031_M00766_0061_000000000-A5M27 incomplete
140205_M00766_0021_000000000-A7RVR,M00766,2014-02-05,251,251,in date,in date,in date,96.230318402,no,10640092,low,549.8594129464285714285714286,very low,0.01552561577963388699356449944,no,96.24265056778991080243049681,no,0.77553678677,0.75,no,0.824592136536,no,0.723197016047,yes,-0.0023110886036,-0.003193154317,no,-0.000331633663217,-0.00357176352719,no,yes,-0.00335382042619,-0.00468449750007,no,High,0.112191947859,yes,no outlying indexes, , ,No NTC on run
