121009_M00766_0002_000000000-A1U6P,M00766,in date,in date,in date,45.384985966,yes,3138050,low,341.3139464285714285714285714,very low,0.3465333764490534174989496650,yes,0.000000,yes,0.875745692874,0.8,no,0.876424178722,0.875067207026,0.999980907791,no,1,0.0,no,0,no,No index information for 121009_M00766_0002_000000000-A1U6P
130206_M00766_0002_000000000-A23JM,M00766,in date,in date,in date,2.00760360074,yes,160923,low,10.2916911621093750000000000,very low,0.2642668678412795165394441445,yes,1.974131380911010026957385393,yes,0.276536877886,0.75,yes,0.0911876611796,0.461886094592,0.358420132025,no,193,-0.00109646241539,yes,65,yes,No index information for 130206_M00766_0002_000000000-A23JM
130405_M00766_0006_000000000-A3FNU,M00766,Run analysis for 130405_M00766_0006_000000000-A3FNU incomplete
130417_M00766_0007_000000000-A3R1F,M00766,in date,in date,in date,93.6874048525,no,14918743,low,773.0358950892857142857142857,very low,0.02464368660628109054309512278,no,93.66733065999577973540677424,no,0.971215229768,0.8,no,0.980171475422,0.962258984114,0.840948046391,no,0,-0.000138841392056,no,0,no,No index information for 130417_M00766_0007_000000000-A3R1F
130508_M00766_0013_000000000-A3RB5,M00766,in date,in date,in date,89.6950367269,no,17060727,low,897.2219910714285714285714286,low,0.01305757367203775795502261611,no,89.61109665242596438691974863,no,0.923407887814,0.8,no,0.949816208095,0.897852845589,0.677936896452,no,0,-0.000604642891662,yes,0,yes,0.155823020314,yes,no outlying indices, , ,NTC OK
130510_M00766_0014_000000000-A3PFJ,M00766,in date,in date,in date,88.5142108845,no,18378480,low,995.2515267857142857142857143,low,0.01348374683646668717077233568,no,88.66105938477342402594735262,no,0.952485508425,0.75,no,0.968671701555,0.935017754425,0.954129264222,no,0,-0.000202901789508,no,0,no,0.516661180734,yes,no outlying indices, , ,NTC OK
130613_M00766_0018_000000000-A4FN3,M00766,in date,in date,in date,62.2348676226,yes,14759376,low,877.4421428571428571428571429,low,0.005254807572963457088250735532,no,61.64863450714623844701873938,yes,0.682985265365,0.75,yes,0.765602990694,0.584733190612,0.677936896452,no,28,-0.00206291204898,yes,55,yes,0.149999023907,yes,no outlying indices, , ,NTC OK
130618_M00766_0019_000000000-A4FEU,M00766,in date,in date,in date,93.7029793662,no,10147864,low,556.7555357142857142857142857,very low,0.009213986265598488457965446469,no,93.92568803612893489204865907,no,0.795454516815,0.75,no,0.903828376319,0.6802443544,0.358420132025,no,0,-0.00108250206269,yes,47,yes,0.196901615605,yes,no outlying indices, , ,NTC OK
130624_M00766_0021_000000000-A53PT,M00766,in date,in date,in date,88.7381481461,no,17725761,low,940.8335446428571428571428571,low,0.01162857200832836743679185036,no,89.00165957362557793985654269,no,0.847358388945,0.75,no,0.902745668305,0.78576044597,0.677936896452,no,0,-0.000955397391506,yes,4,yes,0.0482204996302,yes,no outlying indices, , ,NTC OK
130708_M00766_0023_000000000-A20R8,M00766,out of date,in date,out of date,90.9082233765,no,8144995,None,872.0913482142857142857142857,None,0.01545541891101167059285265735,no,90.77572192829966213284090947,no,0.865890366989,0.85,no,0.917985818366,0.810466732447,0.677936896452,no,0,-0.0013571015498,yes,0,yes,0.106613318042,yes,no outlying indices, , ,NTC OK
130712_M00766_0024_000000000-A5AVV,M00766,in date,in date,in date,82.4400774053,no,13180142,low,710.2953705357142857142857143,very low,0.09421955744246035202858575924,yes,82.13078737004196041611041408,yes,0.921946423872,0.8,no,0.923771405849,0.922916778291,0.999980907791,no,0,-0.000592318199526,yes,0,yes,0.208310847074,yes,no outlying indices, , ,NTC OK
130817_M00766_0037_000000000-A4EDD,M00766,in date,in date,in date,93.6130343296,no,14493580,low,748.77209375000000000000000,very low,0.02010093902234762272105767072,no,93.61274473632548534278205586,no,0.948965098948,0.75,no,0.963118087143,0.9338815813,0.840948046391,no,0,-0.00039473149619,no,1,yes,0.437100985848,yes,['50005-d' '60003-d' '112001-f' '50005-f'],['50005-d' '50005-f'],['60003-d' '112001-f'],NTC OK
130902_M00766_0045_000000000-A5BVD,M00766,in date,in date,in date,92.4438833571,no,17107054,low,889.9217566964285714285714286,low,0.02094274768540172710816028749,no,92.34666138962375068721402284,no,0.95011791998,0.75,no,0.967782281883,0.930939671154,0.840948046391,no,0,-0.000289345969733,no,1,yes,0.599365663704,yes,no outlying indices, , ,NTC OK
130909_M00766_0047_000000000-A5PEH,M00766,in date,in date,in date,91.8202410859,no,17818894,low,943.0640379464285714285714286,low,0.01353147199625185144267368374,no,91.90426429994812301926150896,no,0.916586191076,0.8,no,0.938439809827,0.893232452999,0.954129264222,no,0,-0.000837273181941,yes,0,yes,0.36674052335,yes,['Control'],['Control'],[],NTC OK
130913_M00766_0049_000000000-A5B0E,M00766,in date,in date,in date,89.8636118858,no,17433281,low,913.7303214285714285714285714,low,0.02469617138506423565088811656,no,89.17791675052764755062783784,no,0.833933127024,0.75,no,0.885727996228,0.776475013944,0.840948046391,no,0,-0.00116563781539,yes,4,yes,0.0209577529749,no,no outlying indices, , ,NTC OK
130916_M00766_0050_000000000-A5M1U,M00766,in date,in date,in date,86.0618336984,no,22033351,low,1185.417316964285714285714286,OK,0.02846792582778318441290831796,no,86.01222865501697840569732526,no,0.913800225087,0.8,no,0.934768783405,0.890557708155,0.840948046391,no,0,-0.000702350331845,yes,0,yes,0.189935935537,yes,['12M04425'],['12M04425'],[],NTC OK
130918_M00766_0051_000000000-A5BDM,M00766,Run analysis for 130918_M00766_0051_000000000-A5BDM incomplete
